,,Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017,1,2.0,Cleveland Cavaliers,18,240.0,40.9,83.1,0.493,14.2,33.9,0.42,26.7,49.2,0.544,20.1,26.2,0.767,9.2,32.9,42.2,22.1,7.4,4.7,13.1,18.8,116.2
2017,2,3.0,Indiana Pacers,4,240.0,40.5,87.0,0.466,11.3,28.8,0.391,29.3,58.3,0.502,16.5,21.5,0.767,11.8,30.3,42.0,22.5,8.0,3.8,13.3,22.8,108.8
2017,3,4.0,Washington Wizards,13,241.9,40.1,87.6,0.457,8.4,26.5,0.317,31.7,61.2,0.518,19.5,24.6,0.794,11.2,31.8,43.0,22.8,7.9,6.6,13.8,23.0,108.1
2017,4,5.0,Houston Rockets,11,242.3,37.3,85.0,0.439,12.8,38.5,0.333,24.5,46.5,0.525,20.4,25.8,0.789,9.9,33.0,42.9,19.5,7.7,4.6,14.0,20.9,107.7
2017,5,6.0,San Antonio Spurs,16,243.1,40.0,86.6,0.462,8.6,24.4,0.35,31.4,62.1,0.506,18.5,23.9,0.773,12.8,31.7,44.4,21.3,7.8,4.7,12.8,18.8,107.1
2017,6,7.0,Atlanta Hawks,6,240.0,37.5,84.5,0.444,8.3,27.3,0.305,29.2,57.2,0.51,22.2,29.0,0.764,11.3,33.0,44.3,22.3,6.0,3.3,16.0,21.3,105.5
2017,7,8.0,Boston Celtics,18,241.4,38.4,84.1,0.457,12.7,34.4,0.369,25.7,49.6,0.517,15.7,20.3,0.773,9.4,28.5,37.9,26.9,7.7,4.1,13.4,20.8,105.2
2017,8,9.0,Oklahoma City Thunder,5,240.0,38.6,87.4,0.442,8.4,27.0,0.311,30.2,60.4,0.5,18.6,27.0,0.689,12.2,31.4,43.6,19.8,8.4,8.0,12.8,22.2,104.2
2017,9,10.0,Portland Trail Blazers,4,240.0,35.5,89.5,0.397,11.0,34.0,0.324,24.5,55.5,0.441,19.5,24.3,0.804,10.0,34.0,44.0,15.8,7.3,4.8,15.3,21.8,101.5
2017,10,11.0,Utah Jazz,11,240.0,35.6,78.4,0.455,9.5,25.9,0.365,26.2,52.5,0.499,17.1,23.4,0.732,6.7,32.4,39.1,19.7,7.4,3.2,12.1,21.1,97.8
