season_id,POR,WAS,SEA,DET,CHI,BUF,PHL,NOJ,LAL,GOS,CLE,MIL,NYK,ATL,KCK,PHX,HOU,BOS,IND,DEN,SAN,NYN,NJN,SDC,UTH,DAL,LAC,SAC,MIA,CHH,ORL,MIN,TOR,VAN,GSW,PHI,UTA,SAS,MEM,NOH,CHA,NOK,OKC,BKN,NOP
21999,1645.600319889429,1424.7329255908824,1521.306676544006,1546.3348130185195,1315.856033813772,1504.685207428609,1436.8066963490767,1504.560416009428,1679.5414796771502,1491.0595458727353,1442.3966218787027,1524.3723835905157,1560.7168620909313,1467.064737568817,1504.094216215281,1601.583242934499,1473.334777049458,1466.353469197271,1619.528472791261,1423.7661578622801,1548.829845988216,1504.6198090448647,1469.772522901471,1504.0820478680441,1542.3611611695896,1461.0864693630278,1292.7624812187228,1535.1565840032617,1587.0469691801097,1556.3396210742173,1513.4260664858855,1520.9930946683094,1506.599005381745,1330.4496675618707,1359.8362419878267,1535.4697998367926,1616.1062184451498,1638.2688603317333,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22000,1618.271082121007,1359.555121730861,1519.0921664630164,1458.033665578616,1271.1413390699356,1504.7639055714567,1453.8550222618076,1504.670312007071,1626.2629530206973,1494.5446594045516,1426.8121327377933,1555.5345191486354,1542.3671580376672,1364.2634605467235,1504.3206621614609,1588.2276279131754,1544.601874332337,1458.9556635824258,1518.5710716134352,1472.9563085623276,1537.872384491162,1504.7148567836484,1405.8477728062317,1504.311535901033,1533.0208708771922,1583.7073197739455,1371.3191290664388,1615.9216746553923,1566.2837568651805,1567.0748639601009,1514.3235830890435,1549.4872828181665,1527.2369880548972,1379.7948328591117,1336.7140840866962,1616.8052373603184,1620.9563567537464,1657.98290534529,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22001,1574.5884566397797,1433.026495118094,1573.4147063616522,1524.3399196914918,1312.1582626617092,1504.8229291785924,1466.6412666963556,1504.7527340053034,1659.5803773496161,1497.1584945534137,1406.959607447957,1555.7252359405884,1443.2063117731748,1399.6373615365374,1504.4904966210956,1529.397741873687,1455.6564020096394,1517.7522230953184,1501.8327030597968,1422.7403376063828,1529.6542883683715,1504.7861425877363,1533.489579191732,1504.4836519257747,1526.0156531578941,1614.6761734029283,1509.5420007535963,1659.8877264007672,1478.17531903593,1509.393973732678,1531.711608669884,1588.9181416731797,1514.7520243144345,1392.4413446493731,1351.188969481285,1542.77823713192,1552.7957232268534,1659.0596759981913,1390.999809136733,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
22002,1585.2321711142451,1481.5299689339913,1517.4245169537899,1596.126346832392,1382.940372445639,1504.8671968839444,1476.2309500222668,1504.8145505039774,1570.4109900058256,1499.1188709150601,1322.495988457211,1485.1142777198315,1451.3571221005975,1429.3898651844263,1504.6178724658216,1520.016044623858,1507.1828677322064,1524.990723461238,1561.6623766493622,1345.752989443176,1523.4907162762786,1504.8396069408022,1603.1322020326206,1504.6127389443309,1520.7617398684206,1691.7236733576958,1434.2144374244458,1652.015142173087,1425.8534159642436,1547.7841457891877,1495.2638624159279,1560.3090256749701,1402.6055684320659,1420.58100848703,1452.8404832321692,1545.0029277499161,1553.9542656214455,1651.3294282022955,1401.4393097197274,1522.6943187890654,1500.0,1500.0,1500.0,1500.0,1500.0
22003,1511.4892064889289,1388.9786292176034,1502.01083080838,1598.1557100077498,1373.9763762381124,1504.9003976629583,1483.4232125167,1504.860912877983,1617.2897603919228,1500.589153186295,1400.8372373190016,1514.737397430861,1465.117311055947,1399.2063658606282,1504.713404349366,1460.624855722251,1558.5504622880712,1466.67236900307,1610.4810466067795,1488.4764647486036,1518.868037207209,1504.8797052056016,1556.4319072904013,1504.7095542082482,1516.8213049013154,1615.0837443896605,1433.6051508013184,1650.860936491964,1450.853295570019,1537.0881093418907,1383.723644823552,1619.5218062928325,1410.0540484971893,1441.6857563652725,1476.7637902221252,1478.8619888603519,1504.5336091568818,1658.9475273893856,1550.3007968870752,1520.6072419749323,1500.0,1500.0,1500.0,1500.0,1500.0
22004,1460.0614425542776,1476.5670890463507,1584.4644024222116,1588.130524537637,1464.0937868934946,1504.9252982472187,1488.817409387525,1504.8956846584874,1517.103907409384,1501.6918648897213,1505.6086902398422,1456.0001395599638,1452.7461802260964,1318.9372708264614,1504.7850532620246,1621.4552619121919,1559.9078105178992,1502.0527663099717,1542.0935500611477,1526.6596233621044,1515.4010279054069,1504.9097789042012,1452.5176710631276,1504.7821656561862,1513.8659786759865,1621.9038809126719,1474.843541748182,1583.2088030854497,1629.9304550589313,1529.0660820064181,1437.4392217044503,1568.0741515445407,1443.21145542627,1457.5143172739545,1433.0611671813517,1461.9523322844523,1441.3120216175275,1715.0157347557745,1570.354725404642,1377.016985236807,1375.590540973487,1500.0,1500.0,1500.0,1500.0
22005,1363.143902423667,1505.9698484930022,1452.3829839062873,1672.5790136134747,1509.6414740958608,1504.943973685414,1492.8630570406438,1504.9217634938655,1509.1796632175635,1502.518898667291,1550.265525309719,1456.926925515646,1379.1983672782476,1326.2633459697977,1504.8387899465183,1641.241384280113,1523.5338234778162,1476.56057808259,1544.0773927802823,1552.7450575600894,1512.800770929055,1504.932334178151,1553.3532813611087,1504.8366242421396,1511.64948400699,1676.7543115827468,1540.782294830617,1538.3423991642007,1613.769608054166,1523.0495615048135,1431.0706495217555,1510.6370879206058,1426.2837094846939,1469.3857379554659,1493.62552379017,1481.7639309695405,1445.2461863608182,1662.174069285145,1570.6672563936424,1376.7358445595978,1379.936369362843,1493.6345417617151,1500.0,1500.0,1500.0
22006,1394.9916354547001,1530.889483491978,1473.8288238977461,1602.675661793574,1578.0175370728111,1504.9579802640606,1495.8972927804828,1504.9413226203992,1541.536575964941,1503.1391740004683,1566.9411973534939,1440.0043288411985,1420.6382933426885,1400.0720075798615,1504.8790924598889,1655.5845942138506,1585.6423947331232,1407.4875726608689,1480.1923162342969,1522.4260235751137,1510.8505781967913,1504.9492506336132,1505.9941693015917,1504.8774681816046,1509.9871130052425,1685.0898098099465,1513.8443647550907,1505.0879729805097,1510.6811723199523,1518.5371711286102,1504.551892054563,1459.0056938835016,1487.342483589335,1478.2893034665994,1483.9666323236975,1431.5407650080583,1568.6704385998205,1674.854994489991,1438.2637642439943,1408.8018834196982,1416.3884709115337,1462.6018089041127,1500.0,1500.0,1500.0
22007,1480.6988865232431,1492.6103985825598,1355.2124465842844,1642.2201643376568,1479.3572312975487,1504.9684851980455,1498.1729695853621,1504.9559919652993,1609.504184694386,1503.6043805003512,1528.876440402226,1382.1476649643466,1377.765593899258,1446.8782101811182,1504.9093193449166,1630.1070085280041,1604.928649634582,1640.5509386893627,1445.341535236374,1572.1128218476651,1509.3879336475934,1504.9619379752098,1437.8083878181858,1504.9081011362034,1508.7403347539318,1623.1217900967652,1429.9174951162538,1454.7506402675588,1361.1736448915265,1515.1528783464578,1573.9790725738483,1350.601314402066,1551.4278175148897,1484.9669775999496,1572.5195118776887,1486.5332784222694,1606.4069573664583,1635.4634048240546,1383.1183181746496,1567.330774684086,1424.5758124239449,1509.920676247371,1500.0,1500.0,1500.0
22008,1566.5235565112325,1385.744003203946,1364.9782281576618,1541.6362903182896,1475.0147352949293,1504.9763638985341,1499.8797271890217,1504.9669939739745,1706.2028537228878,1503.9532853752635,1659.608875130518,1433.9637337930772,1415.7325645689293,1520.7020453797604,1504.9319895086874,1565.5920833293112,1605.1651442248394,1698.962841988954,1470.7897748057749,1598.8132718848294,1508.2909502356952,1504.9714534814075,1455.406883753072,1504.9310758521526,1507.8052510654488,1557.392797286229,1337.0229376974692,1360.9219599734124,1462.637681851248,1512.6146587598432,1653.1932559536308,1388.8147412253122,1457.2972712215592,1489.975233199962,1447.0706429733839,1514.8976644072973,1593.0605668276646,1613.1215433983643,1354.1869124175876,1596.1755584449043,1458.3275881815157,1508.690507185528,1388.8222889650551,1500.0,1500.0
22009,1594.2088085021448,1382.1750138028904,1399.9836711182463,1410.6199964499299,1492.874177439637,1504.9822729239006,1501.1597953917662,1504.975245480481,1667.772967730397,1504.2149640314476,1697.6576258375082,1501.1926795069378,1421.98693212759,1589.8188801789959,1504.9489921315155,1573.1743544518663,1552.5630187997092,1627.7966421355175,1436.8876883455723,1615.0644071098927,1507.4682126767714,1504.9785901110556,1316.6179458930828,1504.9483068891145,1507.1039382990866,1584.8329003378262,1378.15178801486,1365.2978162235818,1531.428176765695,1510.7109940698824,1634.2437207463408,1318.4887372787841,1479.2246845786722,1493.7314248999714,1408.6667752117423,1436.8169056918641,1601.8154657373602,1605.4930189059917,1474.69449630045,1485.8417339120015,1524.5842749313063,1507.767880389146,1539.6099186030897,1500.0,1500.0
22010,1552.7823977303187,1351.454960862811,1426.2377533386848,1399.1454705912356,1609.197069207233,1504.9867046929255,1502.1198465438247,1504.9814341103606,1624.8422682084902,1504.4112230235858,1390.107387179457,1496.6390934798826,1486.6863947423644,1554.314637501101,1504.9617440986367,1541.2333975070649,1517.0317667733227,1624.3939535602617,1490.6997478884832,1585.5015240379335,1506.8511595075786,1504.9839425832918,1358.4495287936304,1504.9612301668358,1506.577953724315,1621.5141288595435,1402.1588718953628,1357.394118643107,1648.0109986315706,1509.2832455524117,1640.4516468208437,1331.8103484485746,1391.3049376518313,1496.5485686749785,1442.6359441857508,1494.782939908623,1534.6254354462883,1669.4603843007455,1523.0280789939911,1532.6756781032082,1461.8933185437152,1507.0759102918596,1590.4747351666824,1500.0,1500.0
22011,1535.5591246849237,1340.8667052621167,1445.9283150040137,1392.7685423822763,1673.432977643424,1504.990028519694,1502.8398849078685,1504.9860755827706,1601.6134819783365,1504.5584172676893,1381.994638500236,1492.5207726084943,1518.6778692448997,1521.7120279599606,1504.9713080739775,1508.0902141774525,1527.7919967812113,1550.482636529242,1539.9441632096316,1580.5592988577312,1506.3883696306839,1504.9879569374689,1351.3064185733258,1504.9709226251268,1506.1834652932362,1573.3865042206153,1533.9792853815986,1406.1225164505654,1667.3573248163664,1508.212434164309,1572.3188361416892,1434.3515343921665,1376.5284650333463,1498.661426506234,1464.5494894301119,1563.0687044440087,1497.9562890386514,1632.6556939293725,1574.4398049298497,1433.1838499110781,1295.1424691623536,1506.5569327188946,1663.6642370725358,1500.0,1500.0
22012,1458.8716947680584,1422.6921878153287,1460.6962362530103,1426.773678639971,1568.3081496341856,1504.9925213897704,1503.3799136809014,1504.9895566870778,1540.4626283198133,1504.668812950767,1367.071261319254,1493.4073868203538,1594.1353491642456,1536.2507488364763,1504.9784810554831,1433.965475052851,1560.9278139826326,1530.994284242233,1583.0211829530053,1613.7231953076885,1506.041277223013,1504.9909677031017,1384.18241169878,1504.978191968845,1505.8875989699272,1500.6507299642815,1630.1402617312795,1408.5504775948227,1650.9942486235568,1507.4093256232318,1386.978225598126,1439.8405248013569,1446.9248383419608,1500.2460698796754,1509.277498871224,1451.4213954377824,1524.5053686058768,1681.4995580640077,1612.1942467672789,1440.0290214449503,1273.1408956440262,1506.1676995391708,1684.695225945004,1536.3894385702658,1500.0
