team_name,season_id,mvp_number
Cleveland Rebels,22021,0
Cleveland Rebels,22022,0
Dallas Mavericks,21989,1
Dallas Mavericks,21990,0
Dallas Mavericks,21991,0
Dallas Mavericks,21992,0
Dallas Mavericks,21993,0
Dallas Mavericks,21994,0
Dallas Mavericks,21995,0
Dallas Mavericks,21996,0
Dallas Mavericks,21997,0
Dallas Mavericks,21998,0
Dallas Mavericks,21999,0
Dallas Mavericks,22000,0
Dallas Mavericks,22001,0
Dallas Mavericks,22002,0
Dallas Mavericks,22003,0
Dallas Mavericks,22004,0
Dallas Mavericks,22005,0
Dallas Mavericks,22006,0
Dallas Mavericks,22007,0
Dallas Mavericks,22008,0
Dallas Mavericks,22009,0
Dallas Mavericks,22010,1
Dallas Mavericks,22011,0
Dallas Mavericks,22012,0
Dallas Mavericks,22013,0
Dallas Mavericks,22014,0
Dallas Mavericks,22015,0
Dallas Mavericks,22016,0
Dallas Mavericks,22018,0
Dallas Mavericks,22019,0
Dallas Mavericks,22020,0
Dallas Mavericks,22021,0
Dallas Mavericks,22022,0
Denver Nuggets,21989,0
Denver Nuggets,21990,0
Denver Nuggets,21991,0
Denver Nuggets,21992,0
Denver Nuggets,21993,0
Denver Nuggets,21994,1
Denver Nuggets,21995,0
Denver Nuggets,21996,0
Denver Nuggets,21997,0
Denver Nuggets,21998,0
Denver Nuggets,21999,0
Denver Nuggets,22000,0
Denver Nuggets,22001,0
Denver Nuggets,22002,0
Denver Nuggets,22003,0
Denver Nuggets,22004,1
Denver Nuggets,22005,1
Denver Nuggets,22006,1
Denver Nuggets,22007,1
Denver Nuggets,22008,0
Denver Nuggets,22009,0
Denver Nuggets,22010,0
Denver Nuggets,22011,0
Denver Nuggets,22012,0
Denver Nuggets,22013,0
Denver Nuggets,22014,0
Denver Nuggets,22015,0
Denver Nuggets,22016,0
Denver Nuggets,22018,0
Denver Nuggets,22019,0
Denver Nuggets,22020,0
Denver Nuggets,22021,0
Denver Nuggets,22022,0
Detroit Falcons,21989,0
Detroit Falcons,21990,0
Detroit Falcons,21991,0
Detroit Falcons,21992,0
Detroit Falcons,21993,0
Detroit Falcons,21994,0
Detroit Falcons,21995,0
Detroit Falcons,21996,0
Detroit Falcons,21997,0
Detroit Falcons,21998,0
Detroit Falcons,21999,0
Detroit Falcons,22000,0
Detroit Falcons,22001,0
Detroit Falcons,22002,0
Detroit Falcons,22003,0
Detroit Falcons,22004,0
Detroit Falcons,22005,0
Detroit Falcons,22006,0
Detroit Falcons,22007,0
Detroit Falcons,22008,0
Detroit Falcons,22009,0
Detroit Falcons,22010,0
Detroit Falcons,22011,0
Detroit Falcons,22012,0
Detroit Falcons,22013,0
Detroit Falcons,22014,0
Detroit Falcons,22015,0
Detroit Falcons,22016,0
Detroit Falcons,22018,0
Detroit Falcons,22019,0
Detroit Falcons,22020,0
Detroit Falcons,22021,0
Detroit Falcons,22022,0
Detroit Pistons,21989,2
Detroit Pistons,21990,2
Detroit Pistons,21991,2
Detroit Pistons,21992,2
Detroit Pistons,21993,0
Detroit Pistons,21994,0
Detroit Pistons,21995,0
Detroit Pistons,21996,0
Detroit Pistons,21997,0
Detroit Pistons,21998,0
Detroit Pistons,21999,0
Detroit Pistons,22000,0
Detroit Pistons,22001,2
Detroit Pistons,22002,1
Detroit Pistons,22003,1
Detroit Pistons,22004,3
Detroit Pistons,22005,3
Detroit Pistons,22006,1
Detroit Pistons,22007,1
Detroit Pistons,22008,0
Detroit Pistons,22009,0
Detroit Pistons,22010,0
Detroit Pistons,22011,0
Detroit Pistons,22012,0
Detroit Pistons,22013,0
Detroit Pistons,22014,0
Detroit Pistons,22015,0
Detroit Pistons,22016,0
Detroit Pistons,22018,0
Detroit Pistons,22019,0
Detroit Pistons,22020,0
Detroit Pistons,22021,0
Detroit Pistons,22022,0
Ft. Wayne Zollner Pistons,21989,0
Ft. Wayne Zollner Pistons,21990,0
Ft. Wayne Zollner Pistons,21991,0
Ft. Wayne Zollner Pistons,21992,0
Ft. Wayne Zollner Pistons,21993,0
Ft. Wayne Zollner Pistons,21994,0
Ft. Wayne Zollner Pistons,21995,0
Ft. Wayne Zollner Pistons,21996,0
Ft. Wayne Zollner Pistons,21997,0
Ft. Wayne Zollner Pistons,21998,0
Ft. Wayne Zollner Pistons,21999,0
Ft. Wayne Zollner Pistons,22000,0
Ft. Wayne Zollner Pistons,22001,0
Ft. Wayne Zollner Pistons,22002,0
Ft. Wayne Zollner Pistons,22003,0
Ft. Wayne Zollner Pistons,22004,0
Ft. Wayne Zollner Pistons,22005,0
Ft. Wayne Zollner Pistons,22006,0
Ft. Wayne Zollner Pistons,22007,0
Ft. Wayne Zollner Pistons,22008,0
Ft. Wayne Zollner Pistons,22009,0
Ft. Wayne Zollner Pistons,22010,0
Ft. Wayne Zollner Pistons,22011,0
Ft. Wayne Zollner Pistons,22012,0
Ft. Wayne Zollner Pistons,22013,0
Ft. Wayne Zollner Pistons,22014,0
Ft. Wayne Zollner Pistons,22015,0
Ft. Wayne Zollner Pistons,22016,0
Ft. Wayne Zollner Pistons,22018,0
Ft. Wayne Zollner Pistons,22019,0
Ft. Wayne Zollner Pistons,22020,0
Ft. Wayne Zollner Pistons,22021,0
Ft. Wayne Zollner Pistons,22022,0
Golden State Warriors,21989,0
Golden State Warriors,21990,0
Golden State Warriors,21991,0
Golden State Warriors,21992,0
Golden State Warriors,21993,1
Golden State Warriors,21994,0
Golden State Warriors,21995,0
Golden State Warriors,21996,0
Golden State Warriors,21997,0
Golden State Warriors,21998,0
Golden State Warriors,21999,0
Golden State Warriors,22000,0
Golden State Warriors,22001,0
Golden State Warriors,22002,0
Golden State Warriors,22003,0
Golden State Warriors,22004,0
Golden State Warriors,22005,0
Golden State Warriors,22006,0
Golden State Warriors,22007,0
Golden State Warriors,22008,0
Golden State Warriors,22009,0
Golden State Warriors,22010,0
Golden State Warriors,22011,0
Golden State Warriors,22012,0
Golden State Warriors,22013,1
Golden State Warriors,22014,2
Golden State Warriors,22015,1
Golden State Warriors,22016,1
Golden State Warriors,22018,2
Golden State Warriors,22019,0
Golden State Warriors,22020,1
Golden State Warriors,22021,1
Golden State Warriors,22022,1
Houston Rockets,21989,1
Houston Rockets,21990,1
Houston Rockets,21991,0
Houston Rockets,21992,1
Houston Rockets,21993,1
Houston Rockets,21994,0
Houston Rockets,21995,1
Houston Rockets,21996,1
Houston Rockets,21997,0
Houston Rockets,21998,1
Houston Rockets,21999,0
Houston Rockets,22000,0
Houston Rockets,22001,0
Houston Rockets,22002,0
Houston Rockets,22003,0
Houston Rockets,22004,0
Houston Rockets,22005,0
Houston Rockets,22006,0
Houston Rockets,22007,1
Houston Rockets,22008,2
Houston Rockets,22009,0
Houston Rockets,22010,0
Houston Rockets,22011,0
Houston Rockets,22012,0
Houston Rockets,22013,1
Houston Rockets,22014,0
Houston Rockets,22015,0
Houston Rockets,22016,1
Houston Rockets,22018,0
Houston Rockets,22019,0
Houston Rockets,22020,0
Houston Rockets,22021,0
Houston Rockets,22022,0
Indiana Pacers,21989,0
Indiana Pacers,21990,0
Indiana Pacers,21991,1
Indiana Pacers,21992,0
Indiana Pacers,21993,0
Indiana Pacers,21994,1
Indiana Pacers,21995,1
Indiana Pacers,21996,0
Indiana Pacers,21997,0
Indiana Pacers,21998,0
Indiana Pacers,21999,0
Indiana Pacers,22000,0
Indiana Pacers,22001,0
Indiana Pacers,22002,1
Indiana Pacers,22003,1
Indiana Pacers,22004,0
Indiana Pacers,22005,0
Indiana Pacers,22006,0
Indiana Pacers,22007,0
Indiana Pacers,22008,0
Indiana Pacers,22009,0
Indiana Pacers,22010,0
Indiana Pacers,22011,0
Indiana Pacers,22012,1
Indiana Pacers,22013,2
Indiana Pacers,22014,0
Indiana Pacers,22015,1
Indiana Pacers,22016,0
Indiana Pacers,22018,0
Indiana Pacers,22019,0
Indiana Pacers,22020,0
Indiana Pacers,22021,0
Indiana Pacers,22022,0
Indianapolis Jets,21989,0
Indianapolis Jets,21990,0
Indianapolis Jets,21991,0
Indianapolis Jets,21992,0
Indianapolis Jets,21993,0
Indianapolis Jets,21994,0
Indianapolis Jets,21995,0
Indianapolis Jets,21996,0
Indianapolis Jets,21997,0
Indianapolis Jets,21998,0
Indianapolis Jets,21999,0
Indianapolis Jets,22000,0
Indianapolis Jets,22001,0
Indianapolis Jets,22002,0
Indianapolis Jets,22003,0
Indianapolis Jets,22004,0
Indianapolis Jets,22005,0
Indianapolis Jets,22006,0
Indianapolis Jets,22007,0
Indianapolis Jets,22008,0
Indianapolis Jets,22009,0
Indianapolis Jets,22010,0
Indianapolis Jets,22011,0
Indianapolis Jets,22012,0
Indianapolis Jets,22013,0
Indianapolis Jets,22014,0
Indianapolis Jets,22015,0
Indianapolis Jets,22016,0
Indianapolis Jets,22018,0
Indianapolis Jets,22019,0
Indianapolis Jets,22020,0
Indianapolis Jets,22021,0
Indianapolis Jets,22022,0
Indianapolis Olympians,21989,0
Indianapolis Olympians,21990,0
Indianapolis Olympians,21991,0
Indianapolis Olympians,21992,0
Indianapolis Olympians,21993,0
Indianapolis Olympians,21994,0
Indianapolis Olympians,21995,0
Indianapolis Olympians,21996,0
