team_name,season_id,all_star_number
New Jersey Nets,22009,1
New Jersey Nets,22010,0
New Jersey Nets,22011,0
New Jersey Nets,22012,1
New Jersey Nets,22013,0
New Jersey Nets,22014,0
New Jersey Nets,22015,0
New Jersey Nets,22016,0
New Jersey Nets,22018,0
New Jersey Nets,22019,0
New Jersey Nets,22020,0
New Jersey Nets,22021,0
New Jersey Nets,22022,0
New Orleans Hornets,21989,0
New Orleans Hornets,21990,0
New Orleans Hornets,21991,0
New Orleans Hornets,21992,0
New Orleans Hornets,21993,0
New Orleans Hornets,21994,0
New Orleans Hornets,21995,0
New Orleans Hornets,21996,0
New Orleans Hornets,21997,0
New Orleans Hornets,21998,0
New Orleans Hornets,21999,0
New Orleans Hornets,22000,0
New Orleans Hornets,22001,0
New Orleans Hornets,22002,0
New Orleans Hornets,22003,1
New Orleans Hornets,22004,2
New Orleans Hornets,22005,0
New Orleans Hornets,22006,0
New Orleans Hornets,22007,0
New Orleans Hornets,22008,2
New Orleans Hornets,22009,2
New Orleans Hornets,22010,0
New Orleans Hornets,22011,1
New Orleans Hornets,22012,0
New Orleans Hornets,22013,0
New Orleans Hornets,22014,0
New Orleans Hornets,22015,0
New Orleans Hornets,22016,0
New Orleans Hornets,22018,0
New Orleans Hornets,22019,0
New Orleans Hornets,22020,0
New Orleans Hornets,22021,0
New Orleans Hornets,22022,0
New Orleans Pelicans,21989,0
New Orleans Pelicans,21990,0
New Orleans Pelicans,21991,0
New Orleans Pelicans,21992,0
New Orleans Pelicans,21993,0
New Orleans Pelicans,21994,0
New Orleans Pelicans,21995,0
New Orleans Pelicans,21996,0
New Orleans Pelicans,21997,0
New Orleans Pelicans,21998,0
New Orleans Pelicans,21999,0
New Orleans Pelicans,22000,0
New Orleans Pelicans,22001,0
New Orleans Pelicans,22002,0
New Orleans Pelicans,22003,0
New Orleans Pelicans,22004,0
New Orleans Pelicans,22005,0
New Orleans Pelicans,22006,0
New Orleans Pelicans,22007,0
New Orleans Pelicans,22008,0
New Orleans Pelicans,22009,0
New Orleans Pelicans,22010,0
New Orleans Pelicans,22011,0
New Orleans Pelicans,22012,0
New Orleans Pelicans,22013,0
New Orleans Pelicans,22014,1
New Orleans Pelicans,22015,0
New Orleans Pelicans,22016,1
New Orleans Pelicans,22018,1
New Orleans Pelicans,22019,1
New Orleans Pelicans,22020,1
New Orleans Pelicans,22021,1
New Orleans Pelicans,22022,0
New Orleans/Oklahoma City Hornets,21989,0
New Orleans/Oklahoma City Hornets,21990,0
New Orleans/Oklahoma City Hornets,21991,0
New Orleans/Oklahoma City Hornets,21992,0
New Orleans/Oklahoma City Hornets,21993,0
New Orleans/Oklahoma City Hornets,21994,0
New Orleans/Oklahoma City Hornets,21995,0
New Orleans/Oklahoma City Hornets,21996,0
New Orleans/Oklahoma City Hornets,21997,0
New Orleans/Oklahoma City Hornets,21998,0
New Orleans/Oklahoma City Hornets,21999,0
New Orleans/Oklahoma City Hornets,22000,0
New Orleans/Oklahoma City Hornets,22001,0
New Orleans/Oklahoma City Hornets,22002,0
New Orleans/Oklahoma City Hornets,22003,0
New Orleans/Oklahoma City Hornets,22004,0
New Orleans/Oklahoma City Hornets,22005,0
New Orleans/Oklahoma City Hornets,22006,0
New Orleans/Oklahoma City Hornets,22007,0
New Orleans/Oklahoma City Hornets,22008,0
New Orleans/Oklahoma City Hornets,22009,0
New Orleans/Oklahoma City Hornets,22010,0
New Orleans/Oklahoma City Hornets,22011,0
New Orleans/Oklahoma City Hornets,22012,0
New Orleans/Oklahoma City Hornets,22013,0
New Orleans/Oklahoma City Hornets,22014,0
New Orleans/Oklahoma City Hornets,22015,0
New Orleans/Oklahoma City Hornets,22016,0
New Orleans/Oklahoma City Hornets,22018,0
New Orleans/Oklahoma City Hornets,22019,0
New Orleans/Oklahoma City Hornets,22020,0
New Orleans/Oklahoma City Hornets,22021,0
New Orleans/Oklahoma City Hornets,22022,0
New York Knicks,21989,2
New York Knicks,21990,1
New York Knicks,21991,1
New York Knicks,21992,1
New York Knicks,21993,1
New York Knicks,21994,1
New York Knicks,21995,1
New York Knicks,21996,1
New York Knicks,21997,0
New York Knicks,21998,0
New York Knicks,21999,0
New York Knicks,22000,1
New York Knicks,22001,2
New York Knicks,22002,0
New York Knicks,22003,0
New York Knicks,22004,0
New York Knicks,22005,0
New York Knicks,22006,0
New York Knicks,22007,0
New York Knicks,22008,0
New York Knicks,22009,0
New York Knicks,22010,1
New York Knicks,22011,1
New York Knicks,22012,1
New York Knicks,22013,2
New York Knicks,22014,1
New York Knicks,22015,1
New York Knicks,22016,1
New York Knicks,22018,0
New York Knicks,22019,0
New York Knicks,22020,0
New York Knicks,22021,1
New York Knicks,22022,0
Oklahoma City Thunder,21989,0
Oklahoma City Thunder,21990,0
Oklahoma City Thunder,21991,0
Oklahoma City Thunder,21992,0
Oklahoma City Thunder,21993,0
Oklahoma City Thunder,21994,0
Oklahoma City Thunder,21995,0
Oklahoma City Thunder,21996,0
Oklahoma City Thunder,21997,0
Oklahoma City Thunder,21998,0
Oklahoma City Thunder,21999,0
Oklahoma City Thunder,22000,0
Oklahoma City Thunder,22001,0
Oklahoma City Thunder,22002,0
Oklahoma City Thunder,22003,0
Oklahoma City Thunder,22004,0
Oklahoma City Thunder,22005,0
Oklahoma City Thunder,22006,0
Oklahoma City Thunder,22007,0
Oklahoma City Thunder,22008,0
Oklahoma City Thunder,22009,0
Oklahoma City Thunder,22010,1
Oklahoma City Thunder,22011,2
Oklahoma City Thunder,22012,2
Oklahoma City Thunder,22013,2
Oklahoma City Thunder,22014,1
Oklahoma City Thunder,22015,2
Oklahoma City Thunder,22016,2
Oklahoma City Thunder,22018,2
Oklahoma City Thunder,22019,2
Oklahoma City Thunder,22020,1
Oklahoma City Thunder,22021,0
Oklahoma City Thunder,22022,0
Orlando Magic,21989,0
Orlando Magic,21990,0
Orlando Magic,21991,0
Orlando Magic,21992,0
Orlando Magic,21993,1
Orlando Magic,21994,1
Orlando Magic,21995,2
Orlando Magic,21996,2
Orlando Magic,21997,1
Orlando Magic,21998,1
Orlando Magic,21999,0
Orlando Magic,22000,0
Orlando Magic,22001,1
Orlando Magic,22002,1
Orlando Magic,22003,1
Orlando Magic,22004,1
Orlando Magic,22005,1
Orlando Magic,22006,0
Orlando Magic,22007,1
Orlando Magic,22008,1
Orlando Magic,22009,2
Orlando Magic,22010,1
Orlando Magic,22011,1
Orlando Magic,22012,1
Orlando Magic,22013,0
Orlando Magic,22014,0
Orlando Magic,22015,0
Orlando Magic,22016,0
Orlando Magic,22018,0
Orlando Magic,22019,1
Orlando Magic,22020,0
Orlando Magic,22021,1
Orlando Magic,22022,0
Philadelphia 76ers,21989,1
Philadelphia 76ers,21990,1
Philadelphia 76ers,21991,2
Philadelphia 76ers,21992,1
Philadelphia 76ers,21993,0
Philadelphia 76ers,21994,0
Philadelphia 76ers,21995,1
Philadelphia 76ers,21996,0
Philadelphia 76ers,21997,0
Philadelphia 76ers,21998,0
Philadelphia 76ers,21999,0
Philadelphia 76ers,22000,1
Philadelphia 76ers,22001,1
Philadelphia 76ers,22002,2
Philadelphia 76ers,22003,1
Philadelphia 76ers,22004,1
Philadelphia 76ers,22005,1
Philadelphia 76ers,22006,1
Philadelphia 76ers,22007,0
Philadelphia 76ers,22008,0
Philadelphia 76ers,22009,0
Philadelphia 76ers,22010,0
Philadelphia 76ers,22011,0
Philadelphia 76ers,22012,1
Philadelphia 76ers,22013,1
Philadelphia 76ers,22014,0
Philadelphia 76ers,22015,0
Philadelphia 76ers,22016,0
Philadelphia 76ers,22018,1
Philadelphia 76ers,22019,2
Philadelphia 76ers,22020,2
Philadelphia 76ers,22021,0
Philadelphia 76ers,22022,1
Phoenix Suns,21989,1
Phoenix Suns,21990,2
Phoenix Suns,21991,2
Phoenix Suns,21992,2
Phoenix Suns,21993,2
